"district","date","total","mlt9","m9to12","y1to5","y5to14","ygt14","attack.rate","new.cases","ylt5","ygt5","y5to15","ygt15","m9toy14","missing","immunage","pop","total.old","province"
"beitbridge","2010-03-28",1,0,0,0,1,0,0.89,NA,NA,NA,NA,NA,1,NA,NA,112318.2289,NA,"matabeleland south"
"beitbridge","2010-04-04",1,0,0,0,1,0,0.89,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-04-11",1,0,0,0,1,0,0.89,NA,NA,NA,NA,NA,1,NA,NA,112318.2,NA,"matabeleland south"
"beitbridge","2010-04-18",1,0,0,0,1,0,0.89,NA,NA,NA,NA,NA,1,NA,NA,112318.2,NA,"matabeleland south"
"beitbridge","2010-04-25",1,0,0,0,1,0,0.89,NA,NA,NA,NA,NA,1,NA,NA,112318.2,NA,"matabeleland south"
"beitbridge","2010-05-02",1,0,0,0,1,0,0.89,NA,NA,NA,NA,NA,1,NA,NA,112318.2,NA,"matabeleland south"
"beitbridge","2010-05-09",3,0,0,2,1,0,2.67,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-05-16",4,0,0,2,2,0,3.56,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-05-30",4,0,0,2,2,0,3.6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-06-07",4,0,0,2,2,0,3.6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-06-14",4,0,0,2,2,0,3.6,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-06-20",6,0,0,2,2,2,5.34,2,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-06-27",6,0,0,2,2,2,5.34,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-07-18",6,0,0,2,2,2,5.34,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"matabeleland south"
"beitbridge","2010-09-12",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-09-19",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-09-26",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-10-03",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-10-10",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-10-17",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-10-24",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-10-31",6,0,0,2,2,2,5.3,0,NA,NA,NA,NA,4,0,NA,NA,NA,"matabeleland south"
"beitbridge","2010-11-07",7,0,0,2,2,3,6.2,1,NA,NA,NA,NA,4,0,NA,NA,6,"matabeleland south"
